SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 22 - 2010 - 2010/INC,1,02/09/10,OBRAS,EJECUCION DEL COMPONENTE INFRAESTRUCTURA DE SEGURIDAD DEL PROYECTO CONSTRUCCION DEL CERCO PERIMETRICO Y PUESTA EN VALOR DE LA ZONA ARQUEOLOGICA HUACA LA LUZ I,"47956,86",Soles,1,EJECUCION DEL COMPONENTE INFRAESTRUCTURA DE SEGURIDAD DEL PROYECTO CONSTRUCCION DEL CERCO PERIMETRICO Y PUESTA EN VALOR DE LA ZONA ARQUEOLOGICA HUACA LA LUZ I,"47956,86","43161,18",13/10/10,05/01/11,20516615088,OXIGAS CONTRATISTAS GENERALES S.R.L.,N,20516615088,OXIGAS CONTRATISTAS GENERALES S.R.L.,,,200344-01606080-00498599,003-201-SG-MC,01/11/10,31/12/10,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1606080527976094rad5BAA5.pdf
SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 3 - 2010 - /MC,1,15/11/10,OBRAS,Construccion del Cerco Perimetrico y Rehabilitacion de Ambientes en la  Huaca La Merced,"253983,44",Soles,1,Construccion del Cerco Perimetrico y Rehabilitacion de Ambientes en la  Huaca La Merced,"253983,44","228585,1",29/12/10,11/01/11,20510103450,MAZ & DEL CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,N,20510103450,MAZ & DEL CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,,,200344-01649236-00499010,84,30/12/10,13/01/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1649236478042724radF2083.pdf
SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 3 - 2010 - /MC,1,20/12/10,SERVICIOS,SERVICIO A TODO COSTO DE CABLEADO DE FIBRA OPTICA PARA EL MINISTERIO DE CULTURA,"20895,76",Soles,1,SERVICIO A TODO COSTO DE CABLEADO DE FIBRA OPTICA PARA EL MINISTERIO DE CULTURA,"20895,76","19922,64",04/01/11,03/02/11,20474529291,E-BUSINESS DISTRIBUTION PERU S.A.- EBD PERU S.A.,N,20474529291,E-BUSINESS DISTRIBUTION PERU S.A.- EBD PERU S.A.,,,200344-01673758-00501057,085,05/01/11,19/01/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1673758353493753rad7A89F.pdf
SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,ADJUDICACION DIRECTA SELECTIVA,ADS - 4 - 2010 - /MC,1,18/02/11,BIENES,AdquisiciOn de equipos de computo,158400,Soles,1,Adquisicion de equipos de computo,158400,113107,10/02/11,18/02/11,20512096990,GRUPO TECNOLOGIES S.A.,N,20512096990,GRUPO TECNOLOGIES S.A.,,,200344-01677070-00502572,07,11/02/11,11/03/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1677070889975729rad6AEA4.pdf
SEACE 2,2011,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONTRATO INTERNACIONAL,INTER - 1 - 2011 - CI-2011-MC,1,10/03/11,SERVICIOS,"Servicio de Embalaje, Seguro y Transporte de Bienes Culturales","3824,21",Soles,1,"Servicio de Embalaje, Seguro y Transporte de Bienes Culturales","3824,21","3824,21",16/02/11,10/03/11,I0338864620,ROD &PARTNERS INTERNATIONAL REMOVALS,N,I0338864620,ROD &PARTNERS INTERNATIONAL REMOVALS,,,200344-01687823-00504884,441,16/02/11,16/03/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1687823153664866rad26082.pdf
SEACE 2,2011,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONTRATO INTERNACIONAL,INTER - 2 - 2011 - CI-2011-MC,1,05/04/11,SERVICIOS,ASESORIA LEGAL PARA LA RECUPERACION DE BIENES CULTURALES,7900,Soles,1,ASESORIA LEGAL PARA LA RECUPERACION DE BIENES CULTURALES,7900,7900,05/04/11,05/04/11,I0338864744,DARIA PESCE,N,I0338864744,DARIA PESCE,,,200344-01709409-00508274,0067-2010-VMPCIC-MC,06/04/11,06/04/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1709409458052832rad9FDB6.pdf
SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2010 - /MC,1,18/05/11,SERVICIOS,Seguros Patrimoniales y Personales para el Ministerio de Cultura y el Progrma Qhapaq Nan,"473809,31",Soles,1,Seguros Patrimoniales y Personales para el Ministerio de Cultura y el Progrma Qhapaq ¥an,"473809,31","464333,12",21/01/11,16/05/11,C0001867163,CONSORCIO MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.- MAPFRE PERU VIDA CIA DE SEGUROS Y REASEGUROS,S,20202380621,MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,20202380621,MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,200344-01659787-00513548,1,30/01/11,30/01/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1659787134645186rad8B948.pdf
SEACE 2,2010,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONCURSO PUBLICO,CP - 1 - 2010 - /MC,1,18/05/11,SERVICIOS,Seguros Patrimoniales y Personales para el Ministerio de Cultura y el Progrma Qhapaq Nan,"473809,31",Soles,1,Seguros Patrimoniales y Personales para el Ministerio de Cultura y el Progrma Qhapaq ¥an,"473809,31","464333,12",21/01/11,16/05/11,C0001867163,CONSORCIO MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.- MAPFRE PERU VIDA CIA DE SEGUROS Y REASEGUROS,S,20202380621,MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,20418896915,MAPFRE PERU VIDA COMPAÑIA DE SEGUROS Y REASEGUROS,200344-01659787-00513548,1,30/01/11,30/01/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1659787134645186rad8B948.pdf
SEACE 2,2011,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONTRATO INTERNACIONAL,INTER - 3 - 2011 - CI-2011-MC,1,23/05/11,SERVICIOS,SERVICIO DE REPATRIACION DE BIENES CULTURALES DE DINAMARCA AL PERU,"54149,53",Soles,1,SERVICIO DE REPATRIACION DE BIENES CULTURALES,"54149,53","54149,53",23/05/11,23/05/11,I0338864830,ADAMS TRANSPORT CO. APS,N,I0338864830,ADAMS TRANSPORT CO. APS,,,200344-01731385-00514513,1710,23/05/11,27/05/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1731385361092690radCB4BD.doc
SEACE 2,2011,20537630222,MINISTERIO DE CULTURA,PROCEDIMIENTO CLASICO,CONTRATO INTERNACIONAL,INTER - 4 - 2011 - CI-2011-MC,1,31/05/11,SERVICIOS,SERVICIO DE TRASLADO DE CUADRO DE CESAR VALLEJOS DESDE MADRID AL PERU,"11666,63",Soles,1,SERVICIO DE TRASLADO DE CUADRO DE CESAR VALLEJOS DESDE MADRID AL PERU,"11666,63","11666,63",30/05/11,31/05/11,I0338864839,"TRIARTE 2004, S.L.",N,I0338864839,"TRIARTE 2004, S.L.",,,200344-01734820-00515580,1755,30/05/11,30/06/11,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\200344\1734820536113997radF5CE8.pdf
